1	Q0	1542	1	43,10837	G14R4
39	Q0	3152	482	10,0133333	G14R4
39	Q0	3167	483	10,0133333	G14R4
40	Q0	1641	1	31,09189	G14R4
40	Q0	1614	2	31,08372	G14R4
40	Q0	406	3	22,07571	G14R4
40	Q0	411	4	22,05501	G14R4
40	Q0	1255	5	22,04549	G14R4
40	Q0	2651	6	22,01481	G14R4
40	Q0	2942	7	21,29946	G14R4
40	Q0	1531	8	21,07024	G14R4
40	Q0	794	9	21,0689	G14R4
40	Q0	1464	10	21,06383	G14R4
40	Q0	1853	11	21,05374	G14R4
40	Q0	2936	12	21,05169	G14R4
40	Q0	3164	13	21,05169	G14R4
40	Q0	3103	14	21,05137	G14R4
40	Q0	675	15	21,05089	G14R4
40	Q0	2882	16	21,05002	G14R4
40	Q0	2594	17	21,05	G14R4
40	Q0	1270	18	21,04954	G14R4
40	Q0	1043	19	21,0494	G14R4
40	Q0	1457	20	21,0494	G14R4
40	Q0	2877	21	21,0494	G14R4
40	Q0	1860	22	21,04877	G14R4
40	Q0	1051	23	21,04873	G14R4
40	Q0	272	24	21,0482	G14R4
40	Q0	2295	25	21,0482	G14R4
40	Q0	106	26	21,04816	G14R4
40	Q0	1098	27	21,04734	G14R4
40	Q0	1424	28	21,04549	G14R4
40	Q0	2314	29	21,04401	G14R4
40	Q0	1588	30	21,0421	G14R4
40	Q0	2148	31	21,04194	G14R4
40	Q0	696	32	21,01481	G14R4
40	Q0	2939	33	21,01389	G14R4
40	Q0	2940	34	21,01389	G14R4
40	Q0	2059	35	20,0702437	G14R4
40	Q0	123	36	20,05501	G14R4
40	Q0	1768	37	20,05501	G14R4
40	Q0	2252	38	20,05501	G14R4
40	Q0	2864	39	20,05501	G14R4
40	Q0	3120	40	20,05501	G14R4
40	Q0	944	41	20,0516957	G14R4
40	Q0	1271	42	20,0516957	G14R4
40	Q0	1626	43	20,0516957	G14R4
40	Q0	2421	44	20,0516957	G14R4
40	Q0	3074	45	20,0516957	G14R4
40	Q0	1485	46	20,0508996	G14R4
40	Q0	2065	47	20,0508996	G14R4
40	Q0	2113	48	20,0508996	G14R4
40	Q0	1710	49	20,0507698	G14R4
40	Q0	2561	50	20,0506665	G14R4
40	Q0	1160	51	20,0503298	G14R4
40	Q0	1247	52	20,0503298	G14R4
40	Q0	1830	53	20,0503298	G14R4
40	Q0	1927	54	20,0503298	G14R4
40	Q0	2310	55	20,0503298	G14R4
40	Q0	3030	56	20,0503298	G14R4
40	Q0	3032	57	20,0503298	G14R4
40	Q0	1671	58	20,0502142	G14R4
40	Q0	1470	59	20,0500078	G14R4
40	Q0	2060	60	20,0500078	G14R4
40	Q0	2516	61	20,0500078	G14R4
40	Q0	1693	62	20,0495435	G14R4
40	Q0	2484	63	20,0494039	G14R4
40	Q0	3095	64	20,0494039	G14R4
40	Q0	1324	65	20,0488483	G14R4
40	Q0	2299	66	20,0488483	G14R4
40	Q0	2838	67	20,048168	G14R4
40	Q0	2184	68	20,0467783	G14R4
40	Q0	3008	69	20,0467783	G14R4
40	Q0	2051	70	20,0458524	G14R4
40	Q0	1389	71	20,0454997	G14R4
40	Q0	2723	72	20,0422121	G14R4
40	Q0	2033	73	20,0148148	G14R4
40	Q0	38	74	11,0402	G14R4
40	Q0	53	75	11,0402	G14R4
40	Q0	64	76	11,0402	G14R4
40	Q0	65	77	11,0402	G14R4
40	Q0	165	78	11,0402	G14R4
40	Q0	167	79	11,0402	G14R4
40	Q0	186	80	11,0402	G14R4
40	Q0	196	81	11,0402	G14R4
40	Q0	207	82	11,0402	G14R4
40	Q0	214	83	11,0402	G14R4
40	Q0	267	84	11,0402	G14R4
40	Q0	288	85	11,0402	G14R4
40	Q0	343	86	11,0402	G14R4
40	Q0	399	87	11,0402	G14R4
40	Q0	400	88	11,0402	G14R4
40	Q0	401	89	11,0402	G14R4
40	Q0	404	90	11,0402	G14R4
40	Q0	412	91	11,0402	G14R4
40	Q0	583	92	11,0402	G14R4
40	Q0	632	93	11,0402	G14R4
40	Q0	642	94	11,0402	G14R4
40	Q0	722	95	11,0402	G14R4
40	Q0	723	96	11,0402	G14R4
40	Q0	729	97	11,0402	G14R4
40	Q0	868	98	11,0402	G14R4
40	Q0	889	99	11,0402	G14R4
40	Q0	897	100	11,0402	G14R4
40	Q0	919	101	11,0402	G14R4
40	Q0	946	102	11,0402	G14R4
40	Q0	947	103	11,0402	G14R4
40	Q0	984	104	11,0402	G14R4
40	Q0	985	105	11,0402	G14R4
40	Q0	1036	106	11,0402	G14R4
40	Q0	1120	107	11,0402	G14R4
40	Q0	1132	108	11,0402	G14R4
40	Q0	1142	109	11,0402	G14R4
40	Q0	1178	110	11,0402	G14R4
40	Q0	1234	111	11,0402	G14R4
40	Q0	1243	112	11,0402	G14R4
40	Q0	1301	113	11,0402	G14R4
40	Q0	1303	114	11,0402	G14R4
40	Q0	1337	115	11,0402	G14R4
40	Q0	1339	116	11,0402	G14R4
40	Q0	1477	117	11,0402	G14R4
40	Q0	1668	118	11,0402	G14R4
40	Q0	1669	119	11,0402	G14R4
40	Q0	1833	120	11,0402	G14R4
40	Q0	1837	121	11,0402	G14R4
40	Q0	1865	122	11,0402	G14R4
40	Q0	1917	123	11,0402	G14R4
40	Q0	1921	124	11,0402	G14R4
40	Q0	1050	125	11,03688	G14R4
40	Q0	1216	126	11,03688	G14R4
40	Q0	1288	127	11,03688	G14R4
40	Q0	2156	128	11,03688	G14R4
40	Q0	2361	129	11,03688	G14R4
40	Q0	2570	130	11,03688	G14R4
40	Q0	100	131	11,03551	G14R4
40	Q0	143	132	11,03551	G14R4
40	Q0	176	133	11,03551	G14R4
40	Q0	209	134	11,03551	G14R4
40	Q0	482	135	11,03551	G14R4
40	Q0	572	136	11,03551	G14R4
40	Q0	573	137	11,03551	G14R4
40	Q0	627	138	11,03551	G14R4
40	Q0	793	139	11,03551	G14R4
40	Q0	1024	140	11,03551	G14R4
40	Q0	2157	141	11,03551	G14R4
40	Q0	2381	142	11,03551	G14R4
40	Q0	2607	143	11,03551	G14R4
40	Q0	2725	144	11,03551	G14R4
40	Q0	2756	145	11,03551	G14R4
40	Q0	1957	146	11,03487	G14R4
40	Q0	1972	147	11,03487	G14R4
40	Q0	2855	148	11,03487	G14R4
40	Q0	3106	149	11,03487	G14R4
40	Q0	483	150	11,03473	G14R4
40	Q0	644	151	11,03473	G14R4
40	Q0	1025	152	11,03473	G14R4
40	Q0	1173	153	11,03473	G14R4
40	Q0	1421	154	11,03473	G14R4
40	Q0	1621	155	11,03473	G14R4
40	Q0	3000	156	11,03473	G14R4
40	Q0	254	157	11,03339	G14R4
40	Q0	761	158	11,03339	G14R4
40	Q0	949	159	11,03339	G14R4
40	Q0	1086	160	11,03339	G14R4
40	Q0	1188	161	11,03339	G14R4
40	Q0	1379	162	11,03339	G14R4
40	Q0	1380	163	11,03339	G14R4
40	Q0	1488	164	11,03339	G14R4
40	Q0	1491	165	11,03339	G14R4
40	Q0	2066	166	11,03339	G14R4
40	Q0	2551	167	11,03339	G14R4
40	Q0	2658	168	11,03339	G14R4
40	Q0	3184	169	11,03339	G14R4
40	Q0	1549	170	11,03335	G14R4
40	Q0	2168	171	11,03335	G14R4
40	Q0	2767	172	11,03335	G14R4
40	Q0	2665	173	11,03196	G14R4
40	Q0	2772	174	11,03196	G14R4
40	Q0	2998	175	11,03196	G14R4
40	Q0	321	176	11,03101	G14R4
40	Q0	367	177	11,03068	G14R4
40	Q0	731	178	11,03068	G14R4
40	Q0	2766	179	11,03068	G14R4
40	Q0	2513	180	11,02877	G14R4
40	Q0	2857	181	11,02877	G14R4
40	Q0	3112	182	11,02877	G14R4
40	Q0	1323	183	11,02831	G14R4
40	Q0	527	184	11,0274	G14R4
40	Q0	1878	185	11,0274	G14R4
40	Q0	2406	186	11,02222	G14R4
40	Q0	2046	187	11,02	G14R4
40	Q0	1922	188	11,01778	G14R4
40	Q0	68	189	11,01538	G14R4
40	Q0	414	190	11,01538	G14R4
40	Q0	435	191	11,01538	G14R4
40	Q0	825	192	11,01538	G14R4
40	Q0	981	193	11,01538	G14R4
40	Q0	1181	194	11,01538	G14R4
40	Q0	1431	195	11,01538	G14R4
40	Q0	1439	196	11,01538	G14R4
40	Q0	1465	197	11,01538	G14R4
40	Q0	1516	198	11,01538	G14R4
40	Q0	1517	199	11,01538	G14R4
40	Q0	1649	200	11,01538	G14R4
40	Q0	2023	201	11,01538	G14R4
40	Q0	2577	202	11,01538	G14R4
40	Q0	2716	203	11,01538	G14R4
40	Q0	2801	204	11,01538	G14R4
40	Q0	2817	205	11,01538	G14R4
40	Q0	2969	206	11,01538	G14R4
40	Q0	2975	207	11,01538	G14R4
40	Q0	3068	208	11,01538	G14R4
40	Q0	3104	209	11,01538	G14R4
40	Q0	3118	210	11,01538	G14R4
40	Q0	2002	211	11,01515	G14R4
40	Q0	2717	212	11,01515	G14R4
40	Q0	2718	213	11,01515	G14R4
40	Q0	2999	214	11,01515	G14R4
40	Q0	3105	215	11,01515	G14R4
40	Q0	3124	216	11,01515	G14R4
40	Q0	59	217	11,01481	G14R4
40	Q0	73	218	11,01481	G14R4
40	Q0	84	219	11,01481	G14R4
40	Q0	86	220	11,01481	G14R4
40	Q0	202	221	11,01481	G14R4
40	Q0	333	222	11,01481	G14R4
40	Q0	394	223	11,01481	G14R4
40	Q0	461	224	11,01481	G14R4
40	Q0	474	225	11,01481	G14R4
40	Q0	528	226	11,01481	G14R4
40	Q0	529	227	11,01481	G14R4
40	Q0	593	228	11,01481	G14R4
40	Q0	597	229	11,01481	G14R4
40	Q0	654	230	11,01481	G14R4
40	Q0	656	231	11,01481	G14R4
40	Q0	698	232	11,01481	G14R4
40	Q0	987	233	11,01481	G14R4
40	Q0	1017	234	11,01481	G14R4
40	Q0	1065	235	11,01481	G14R4
40	Q0	1118	236	11,01481	G14R4
40	Q0	1204	237	11,01481	G14R4
40	Q0	1267	238	11,01481	G14R4
40	Q0	1272	239	11,01481	G14R4
40	Q0	1291	240	11,01481	G14R4
40	Q0	1302	241	11,01481	G14R4
40	Q0	1359	242	11,01481	G14R4
40	Q0	1360	243	11,01481	G14R4
40	Q0	1367	244	11,01481	G14R4
40	Q0	1398	245	11,01481	G14R4
40	Q0	1436	246	11,01481	G14R4
40	Q0	1701	247	11,01481	G14R4
40	Q0	1780	248	11,01481	G14R4
40	Q0	1950	249	11,01481	G14R4
40	Q0	2102	250	11,01481	G14R4
40	Q0	2117	251	11,01481	G14R4
40	Q0	2321	252	11,01481	G14R4
40	Q0	2713	253	11,01481	G14R4
40	Q0	2731	254	11,01481	G14R4
40	Q0	2960	255	11,01481	G14R4
40	Q0	3087	256	11,01481	G14R4
40	Q0	1290	257	11,01449	G14R4
40	Q0	1476	258	11,01449	G14R4
40	Q0	1757	259	11,01449	G14R4
40	Q0	1828	260	11,01449	G14R4
40	Q0	2923	261	11,01449	G14R4
40	Q0	2957	262	11,01449	G14R4
40	Q0	2198	263	11,01404	G14R4
40	Q0	2593	264	11,01404	G14R4
40	Q0	2750	265	11,01404	G14R4
40	Q0	855	266	11,01389	G14R4
40	Q0	1108	267	11,01389	G14R4
40	Q0	1143	268	11,01389	G14R4
40	Q0	1507	269	11,01389	G14R4
40	Q0	1515	270	11,01389	G14R4
40	Q0	1728	271	11,01389	G14R4
40	Q0	2083	272	11,01389	G14R4
40	Q0	2155	273	11,01389	G14R4
40	Q0	2493	274	11,01389	G14R4
40	Q0	2623	275	11,01389	G14R4
40	Q0	2699	276	11,01389	G14R4
40	Q0	2906	277	11,01389	G14R4
40	Q0	2956	278	11,01389	G14R4
40	Q0	1281	279	11,01333	G14R4
40	Q0	1307	280	11,01333	G14R4
40	Q0	1489	281	11,01333	G14R4
40	Q0	1736	282	11,01333	G14R4
40	Q0	2341	283	11,01333	G14R4
40	Q0	2799	284	11,01333	G14R4
40	Q0	2937	285	11,01333	G14R4
40	Q0	3069	286	11,01333	G14R4
40	Q0	3109	287	11,01333	G14R4
40	Q0	1937	288	11,0127	G14R4
40	Q0	2141	289	11,0127	G14R4
40	Q0	2710	290	11,0127	G14R4
40	Q0	2765	291	11,0127	G14R4
40	Q0	2958	292	11,0127	G14R4
40	Q0	3031	293	11,0127	G14R4
40	Q0	2929	294	10,518519	G14R4
40	Q0	2709	295	10,259259	G14R4
40	Q0	2835	296	10,259259	G14R4
40	Q0	2921	297	10,259259	G14R4
40	Q0	124	298	10,0401952	G14R4
40	Q0	224	299	10,0401952	G14R4
40	Q0	691	300	10,0401952	G14R4
40	Q0	799	301	10,0401952	G14R4
40	Q0	1158	302	10,0401952	G14R4
40	Q0	1186	303	10,0401952	G14R4
40	Q0	1215	304	10,0401952	G14R4
40	Q0	1254	305	10,0401952	G14R4
40	Q0	1263	306	10,0401952	G14R4
40	Q0	1265	307	10,0401952	G14R4
40	Q0	1306	308	10,0401952	G14R4
40	Q0	1314	309	10,0401952	G14R4
40	Q0	1444	310	10,0401952	G14R4
40	Q0	1484	311	10,0401952	G14R4
40	Q0	1498	312	10,0401952	G14R4
40	Q0	1602	313	10,0401952	G14R4
40	Q0	1625	314	10,0401952	G14R4
40	Q0	1689	315	10,0401952	G14R4
40	Q0	1940	316	10,0401952	G14R4
40	Q0	1949	317	10,0401952	G14R4
40	Q0	2095	318	10,0401952	G14R4
40	Q0	2134	319	10,0401952	G14R4
40	Q0	2265	320	10,0401952	G14R4
40	Q0	2301	321	10,0401952	G14R4
40	Q0	2317	322	10,0401952	G14R4
40	Q0	2389	323	10,0401952	G14R4
40	Q0	2423	324	10,0401952	G14R4
40	Q0	2645	325	10,0401952	G14R4
40	Q0	2652	326	10,0401952	G14R4
40	Q0	2785	327	10,0401952	G14R4
40	Q0	2886	328	10,0401952	G14R4
40	Q0	1035	329	10,0368809	G14R4
40	Q0	1184	330	10,0368809	G14R4
40	Q0	1826	331	10,0368809	G14R4
40	Q0	1847	332	10,0368809	G14R4
40	Q0	1890	333	10,0368809	G14R4
40	Q0	2162	334	10,0368809	G14R4
40	Q0	2262	335	10,0368809	G14R4
40	Q0	2648	336	10,0368809	G14R4
40	Q0	2742	337	10,0368809	G14R4
40	Q0	2885	338	10,0368809	G14R4
40	Q0	2927	339	10,0368809	G14R4
40	Q0	724	340	10,035515	G14R4
40	Q0	728	341	10,035515	G14R4
40	Q0	1046	342	10,035515	G14R4
40	Q0	1162	343	10,035515	G14R4
40	Q0	1185	344	10,035515	G14R4
40	Q0	1194	345	10,035515	G14R4
40	Q0	1214	346	10,035515	G14R4
40	Q0	1305	347	10,035515	G14R4
40	Q0	1390	348	10,035515	G14R4
40	Q0	1393	349	10,035515	G14R4
40	Q0	1456	350	10,035515	G14R4
40	Q0	1469	351	10,035515	G14R4
40	Q0	1590	352	10,035515	G14R4
40	Q0	1616	353	10,035515	G14R4
40	Q0	1678	354	10,035515	G14R4
40	Q0	1708	355	10,035515	G14R4
40	Q0	1725	356	10,035515	G14R4
40	Q0	1935	357	10,035515	G14R4
40	Q0	2125	358	10,035515	G14R4
40	Q0	2128	359	10,035515	G14R4
40	Q0	2160	360	10,035515	G14R4
40	Q0	2177	361	10,035515	G14R4
40	Q0	2210	362	10,035515	G14R4
40	Q0	2316	363	10,035515	G14R4
40	Q0	2323	364	10,035515	G14R4
40	Q0	2339	365	10,035515	G14R4
40	Q0	2359	366	10,035515	G14R4
40	Q0	2367	367	10,035515	G14R4
40	Q0	2500	368	10,035515	G14R4
40	Q0	2538	369	10,035515	G14R4
40	Q0	2605	370	10,035515	G14R4
40	Q0	2626	371	10,035515	G14R4
40	Q0	2719	372	10,035515	G14R4
40	Q0	2879	373	10,035515	G14R4
40	Q0	2944	374	10,035515	G14R4
40	Q0	2954	375	10,035515	G14R4
40	Q0	3061	376	10,035515	G14R4
40	Q0	2137	377	10,0348692	G14R4
40	Q0	1706	378	10,0347287	G14R4
40	Q0	1825	379	10,033393	G14R4
40	Q0	3081	380	10,033393	G14R4
40	Q0	2902	381	10,0333532	G14R4
40	Q0	1264	382	10,0319635	G14R4
40	Q0	2114	383	10,0306849	G14R4
40	Q0	1453	384	10,0271318	G14R4
40	Q0	1705	385	10,0271318	G14R4
40	Q0	40	386	10,0153846	G14R4
40	Q0	396	387	10,0153846	G14R4
40	Q0	605	388	10,0153846	G14R4
40	Q0	616	389	10,0153846	G14R4
40	Q0	849	390	10,0153846	G14R4
40	Q0	1003	391	10,0153846	G14R4
40	Q0	1180	392	10,0153846	G14R4
40	Q0	1195	393	10,0153846	G14R4
40	Q0	1206	394	10,0153846	G14R4
40	Q0	1417	395	10,0153846	G14R4
40	Q0	1433	396	10,0153846	G14R4
40	Q0	1463	397	10,0153846	G14R4
40	Q0	1527	398	10,0153846	G14R4
40	Q0	1543	399	10,0153846	G14R4
40	Q0	1587	400	10,0153846	G14R4
40	Q0	1753	401	10,0153846	G14R4
40	Q0	1769	402	10,0153846	G14R4
40	Q0	1811	403	10,0153846	G14R4
40	Q0	1902	404	10,0153846	G14R4
40	Q0	1916	405	10,0153846	G14R4
40	Q0	1947	406	10,0153846	G14R4
40	Q0	1977	407	10,0153846	G14R4
40	Q0	2006	408	10,0153846	G14R4
40	Q0	2078	409	10,0153846	G14R4
40	Q0	2081	410	10,0153846	G14R4
40	Q0	2105	411	10,0153846	G14R4
40	Q0	2138	412	10,0153846	G14R4
40	Q0	2147	413	10,0153846	G14R4
40	Q0	2176	414	10,0153846	G14R4
40	Q0	2188	415	10,0153846	G14R4
40	Q0	2204	416	10,0153846	G14R4
40	Q0	2218	417	10,0153846	G14R4
40	Q0	2253	418	10,0153846	G14R4
40	Q0	2254	419	10,0153846	G14R4
40	Q0	2275	420	10,0153846	G14R4
40	Q0	2308	421	10,0153846	G14R4
40	Q0	2320	422	10,0153846	G14R4
40	Q0	2402	423	10,0153846	G14R4
40	Q0	2488	424	10,0153846	G14R4
40	Q0	2633	425	10,0153846	G14R4
40	Q0	2646	426	10,0153846	G14R4
40	Q0	2688	427	10,0153846	G14R4
40	Q0	2722	428	10,0153846	G14R4
40	Q0	2729	429	10,0153846	G14R4
40	Q0	2779	430	10,0153846	G14R4
40	Q0	2798	431	10,0153846	G14R4
40	Q0	2851	432	10,0153846	G14R4
40	Q0	2893	433	10,0153846	G14R4
40	Q0	2911	434	10,0153846	G14R4
40	Q0	2941	435	10,0153846	G14R4
40	Q0	2962	436	10,0153846	G14R4
40	Q0	2967	437	10,0153846	G14R4
40	Q0	3012	438	10,0153846	G14R4
40	Q0	3149	439	10,0153846	G14R4
40	Q0	1677	440	10,0151515	G14R4
40	Q0	1695	441	10,0151515	G14R4
40	Q0	2452	442	10,0151515	G14R4
40	Q0	2470	443	10,0151515	G14R4
40	Q0	95	444	10,0148148	G14R4
40	Q0	251	445	10,0148148	G14R4
40	Q0	252	446	10,0148148	G14R4
40	Q0	278	447	10,0148148	G14R4
40	Q0	380	448	10,0148148	G14R4
40	Q0	533	449	10,0148148	G14R4
40	Q0	585	450	10,0148148	G14R4
40	Q0	595	451	10,0148148	G14R4
40	Q0	617	452	10,0148148	G14R4
40	Q0	670	453	10,0148148	G14R4
40	Q0	892	454	10,0148148	G14R4
40	Q0	942	455	10,0148148	G14R4
40	Q0	1002	456	10,0148148	G14R4
40	Q0	1012	457	10,0148148	G14R4
40	Q0	1033	458	10,0148148	G14R4
40	Q0	1088	459	10,0148148	G14R4
40	Q0	1135	460	10,0148148	G14R4
40	Q0	1161	461	10,0148148	G14R4
40	Q0	1224	462	10,0148148	G14R4
40	Q0	1252	463	10,0148148	G14R4
40	Q0	1260	464	10,0148148	G14R4
40	Q0	1326	465	10,0148148	G14R4
40	Q0	1327	466	10,0148148	G14R4
40	Q0	1385	467	10,0148148	G14R4
40	Q0	1435	468	10,0148148	G14R4
40	Q0	1503	469	10,0148148	G14R4
40	Q0	1533	470	10,0148148	G14R4
40	Q0	1534	471	10,0148148	G14R4
40	Q0	1548	472	10,0148148	G14R4
40	Q0	1552	473	10,0148148	G14R4
40	Q0	1570	474	10,0148148	G14R4
40	Q0	1571	475	10,0148148	G14R4
40	Q0	1604	476	10,0148148	G14R4
40	Q0	1605	477	10,0148148	G14R4
40	Q0	1627	478	10,0148148	G14R4
40	Q0	1637	479	10,0148148	G14R4
40	Q0	1655	480	10,0148148	G14R4
40	Q0	1659	481	10,0148148	G14R4
40	Q0	1680	482	10,0148148	G14R4
40	Q0	1681	483	10,0148148	G14R4
40	Q0	1709	484	10,0148148	G14R4
40	Q0	1711	485	10,0148148	G14R4
40	Q0	1712	486	10,0148148	G14R4
40	Q0	1742	487	10,0148148	G14R4
40	Q0	1745	488	10,0148148	G14R4
40	Q0	1750	489	10,0148148	G14R4
40	Q0	1801	490	10,0148148	G14R4
40	Q0	1835	491	10,0148148	G14R4
40	Q0	1861	492	10,0148148	G14R4
40	Q0	1875	493	10,0148148	G14R4
40	Q0	1907	494	10,0148148	G14R4
40	Q0	1929	495	10,0148148	G14R4
40	Q0	1951	496	10,0148148	G14R4
40	Q0	1956	497	10,0148148	G14R4
40	Q0	1973	498	10,0148148	G14R4
40	Q0	1974	499	10,0148148	G14R4
40	Q0	1976	500	10,0148148	G14R4
40	Q0	2016	501	10,0148148	G14R4
40	Q0	2032	502	10,0148148	G14R4
40	Q0	2062	503	10,0148148	G14R4
40	Q0	2064	504	10,0148148	G14R4
40	Q0	2163	505	10,0148148	G14R4
40	Q0	2169	506	10,0148148	G14R4
40	Q0	2196	507	10,0148148	G14R4
40	Q0	2202	508	10,0148148	G14R4
40	Q0	2211	509	10,0148148	G14R4
40	Q0	2231	510	10,0148148	G14R4
40	Q0	2233	511	10,0148148	G14R4
40	Q0	2245	512	10,0148148	G14R4
40	Q0	2286	513	10,0148148	G14R4
40	Q0	2300	514	10,0148148	G14R4
40	Q0	2311	515	10,0148148	G14R4
40	Q0	2342	516	10,0148148	G14R4
40	Q0	2358	517	10,0148148	G14R4
40	Q0	2366	518	10,0148148	G14R4
40	Q0	2379	519	10,0148148	G14R4
40	Q0	2390	520	10,0148148	G14R4
40	Q0	2436	521	10,0148148	G14R4
40	Q0	2450	522	10,0148148	G14R4
40	Q0	2455	523	10,0148148	G14R4
40	Q0	2485	524	10,0148148	G14R4
40	Q0	2501	525	10,0148148	G14R4
40	Q0	2522	526	10,0148148	G14R4
40	Q0	2528	527	10,0148148	G14R4
40	Q0	2529	528	10,0148148	G14R4
40	Q0	2576	529	10,0148148	G14R4
40	Q0	2582	530	10,0148148	G14R4
40	Q0	2584	531	10,0148148	G14R4
40	Q0	2622	532	10,0148148	G14R4
40	Q0	2634	533	10,0148148	G14R4
40	Q0	2682	534	10,0148148	G14R4
40	Q0	2689	535	10,0148148	G14R4
40	Q0	2701	536	10,0148148	G14R4
40	Q0	2734	537	10,0148148	G14R4
40	Q0	2743	538	10,0148148	G14R4
40	Q0	2787	539	10,0148148	G14R4
40	Q0	2811	540	10,0148148	G14R4
40	Q0	2815	541	10,0148148	G14R4
40	Q0	2821	542	10,0148148	G14R4
40	Q0	2822	543	10,0148148	G14R4
40	Q0	2823	544	10,0148148	G14R4
40	Q0	2825	545	10,0148148	G14R4
40	Q0	2828	546	10,0148148	G14R4
40	Q0	2849	547	10,0148148	G14R4
40	Q0	2860	548	10,0148148	G14R4
40	Q0	2867	549	10,0148148	G14R4
40	Q0	2887	550	10,0148148	G14R4
40	Q0	2894	551	10,0148148	G14R4
40	Q0	2897	552	10,0148148	G14R4
40	Q0	2898	553	10,0148148	G14R4
40	Q0	2900	554	10,0148148	G14R4
40	Q0	2925	555	10,0148148	G14R4
40	Q0	2931	556	10,0148148	G14R4
40	Q0	2945	557	10,0148148	G14R4
40	Q0	2951	558	10,0148148	G14R4
40	Q0	2966	559	10,0148148	G14R4
40	Q0	2971	560	10,0148148	G14R4
40	Q0	2977	561	10,0148148	G14R4
40	Q0	2987	562	10,0148148	G14R4
40	Q0	2993	563	10,0148148	G14R4
40	Q0	3022	564	10,0148148	G14R4
40	Q0	3023	565	10,0148148	G14R4
40	Q0	3026	566	10,0148148	G14R4
40	Q0	3037	567	10,0148148	G14R4
40	Q0	3038	568	10,0148148	G14R4
40	Q0	3039	569	10,0148148	G14R4
40	Q0	3048	570	10,0148148	G14R4
40	Q0	3066	571	10,0148148	G14R4
40	Q0	3067	572	10,0148148	G14R4
40	Q0	3072	573	10,0148148	G14R4
40	Q0	3073	574	10,0148148	G14R4
40	Q0	3077	575	10,0148148	G14R4
40	Q0	3101	576	10,0148148	G14R4
40	Q0	3115	577	10,0148148	G14R4
40	Q0	3125	578	10,0148148	G14R4
40	Q0	3132	579	10,0148148	G14R4
40	Q0	3133	580	10,0148148	G14R4
40	Q0	3138	581	10,0148148	G14R4
40	Q0	3142	582	10,0148148	G14R4
40	Q0	3147	583	10,0148148	G14R4
40	Q0	3151	584	10,0148148	G14R4
40	Q0	3154	585	10,0148148	G14R4
40	Q0	3158	586	10,0148148	G14R4
40	Q0	3166	587	10,0148148	G14R4
40	Q0	3177	588	10,0148148	G14R4
40	Q0	2217	589	10,0144928	G14R4
40	Q0	2313	590	10,0144928	G14R4
40	Q0	2451	591	10,0144928	G14R4
40	Q0	2667	592	10,0144928	G14R4
40	Q0	2715	593	10,0144928	G14R4
40	Q0	409	594	10,0138889	G14R4
40	Q0	972	595	10,0138889	G14R4
40	Q0	1034	596	10,0138889	G14R4
40	Q0	1066	597	10,0138889	G14R4
40	Q0	1226	598	10,0138889	G14R4
40	Q0	1412	599	10,0138889	G14R4
40	Q0	2372	600	10,0138889	G14R4
40	Q0	2433	601	10,0138889	G14R4
40	Q0	2620	602	10,0138889	G14R4
40	Q0	2832	603	10,0138889	G14R4
40	Q0	2888	604	10,0138889	G14R4
40	Q0	2912	605	10,0138889	G14R4
40	Q0	3165	606	10,0138889	G14R4
40	Q0	851	607	10,0133333	G14R4
40	Q0	1309	608	10,0133333	G14R4
40	Q0	1410	609	10,0133333	G14R4
40	Q0	1411	610	10,0133333	G14R4
40	Q0	1650	611	10,0133333	G14R4
40	Q0	1651	612	10,0133333	G14R4
40	Q0	1719	613	10,0133333	G14R4
40	Q0	1827	614	10,0133333	G14R4
40	Q0	1868	615	10,0133333	G14R4
40	Q0	1959	616	10,0133333	G14R4
40	Q0	1978	617	10,0133333	G14R4
40	Q0	2092	618	10,0133333	G14R4
40	Q0	2178	619	10,0133333	G14R4
40	Q0	2424	620	10,0133333	G14R4
40	Q0	2494	621	10,0133333	G14R4
40	Q0	2547	622	10,0133333	G14R4
40	Q0	2727	623	10,0133333	G14R4
40	Q0	2819	624	10,0133333	G14R4
40	Q0	2846	625	10,0133333	G14R4
40	Q0	2959	626	10,0133333	G14R4
40	Q0	3002	627	10,0133333	G14R4
40	Q0	3049	628	10,0133333	G14R4
40	Q0	3152	629	10,0133333	G14R4
40	Q0	3167	630	10,0133333	G14R4
41	Q0	1601	1	21,11287	G14R4
41	Q0	2714	2	21,09041	G14R4
41	Q0	2851	3	21,08746	G14R4
41	Q0	2483	4	20,251009	G14R4
41	Q0	2897	5	20,16583	G14R4
41	Q0	2016	6	20,108641	G14R4
41	Q0	248	7	20,107136	G14R4
41	Q0	2497	8	20,107115	G14R4
41	Q0	1409	9	20,10561	G14R4
41	Q0	3120	10	20,10561	G14R4
41	Q0	1397	11	20,0942155	G14R4
41	Q0	2289	12	20,0840053	G14R4
41	Q0	2668	13	11,15217	G14R4
41	Q0	136	14	11,068	G14R4
41	Q0	356	15	11,068	G14R4
41	Q0	740	16	11,068	G14R4
41	Q0	141	17	11,06648	G14R4
41	Q0	392	18	11,06648	G14R4
41	Q0	1302	19	11,06648	G14R4
41	Q0	1367	20	11,06648	G14R4
41	Q0	1795	21	11,06648	G14R4
41	Q0	2952	22	11,06648	G14R4
41	Q0	1613	23	11,05744	G14R4
